Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2021/22,06/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,379023,335505,5,43513,6390,6390,37123,6682
2021/22,06/30/2022 12:00:00 AM,MPTN On-Reservation,671843,685886,3,-14046,29041,0,-14046,0
2021/22,06/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",420056291,406814933,164727,13076631,12372142,3269158,9807473,1765345
2021/22,06/30/2022 12:00:00 AM,"Mohegan Digital, LLC",254393582,246515856,11645,7866081,1397441,1397441,6468640,1164355
2021/22,05/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,716607,681306,0,35301,4130,4130,31171,5611
2021/22,05/31/2022 12:00:00 AM,MPTN On-Reservation,710829,684549,10,26270,22614,6568,19703,3546
2021/22,05/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",496904669,484267401,146970,12490298,29968316,3122574,9367723,1686190
2021/22,05/31/2022 12:00:00 AM,"Mohegan Digital, LLC",275818534,267451923,3887,8362724,1205520,1205520,7157204,1288297
2021/22,04/30/2022 12:00:00 AM,MPTN On-Reservation,1464737,1438677,0,26060,48032,6515,19545,3518
2021/22,04/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",475988357,462730802,210022,13047534,17431335,3261883,9785650,1761417
2021/22,04/30/2022 12:00:00 AM,"Mohegan Digital, LLC",283107499,273420203,3628,9683669,1021521,1021521,8662147,1559187
2021/22,03/31/2022 12:00:00 AM,MPTN On-Reservation,2398475,2399449,0,-974,11037,0,-974,0
2021/22,03/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",537888829,524103453,129356,13656020,32206562,3414005,10242015,1843563
2021/22,03/31/2022 12:00:00 AM,"Mohegan Digital, LLC",280620004,271630755,6584,8982665,903992,903992,8078673,1454161
2021/22,02/28/2022 12:00:00 AM,MPTN On-Reservation,824365,777412,0,46953,9435,9435,37518,6753
2021/22,02/28/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",493591525,479770691,113989,13706846,17172530,3426712,10280135,1850424
2021/22,02/28/2022 12:00:00 AM,"Mohegan Digital, LLC",249479067,241646638,3303,7829126,1008038,1008038,6821088,1227796
2021/22,01/31/2022 12:00:00 AM,MPTN On-Reservation,440462,409204,0,31257,7069,7069,24188,4354
2021/22,01/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",502522740,488634245,208888,13679607,2567892,2567892,11111715,2000109
2021/22,01/31/2022 12:00:00 AM,"Mohegan Digital, LLC",277089825,268319726,7369,8762730,1065100,1065100,7697631,1385574
2021/22,12/31/2021 12:00:00 AM,MPTN On-Reservation,114528,111365,0,3162,538,538,2624,472
2021/22,12/31/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",523770709,511419680,294544,12056485,2856561,2856561,9199924,1655986
2021/22,12/31/2021 12:00:00 AM,"Mohegan Digital, LLC",290977291,282738367,669,8238256,1101883,1101883,7136373,1284547
2021/22,11/30/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",416047836,405355891,116812,10575132,5973768,2643783,7931349,1427642
2021/22,11/30/2021 12:00:00 AM,"Mohegan Digital, LLC",275235600,267352697,20951,7861951,1941852,1941852,5920099,1065618
2021/22,10/31/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",189562887,184748397,574,4813916,1246418,1203479,3610437,649879
2021/22,10/31/2021 12:00:00 AM,"Mohegan Digital, LLC",123299057,119200731,57747,4040579,2178865,1010145,3030434,545478
2022/23,06/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,951394,908566,0,42828,6465,6465,36363,6545
2022/23,06/30/2023 12:00:00 AM,MPTN On-Reservation,1349642,1289059,0,60583,4845,4845,55738,10033
2022/23,06/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",561270181,544278781,259401,16731999,3195107,3195107,13536892,2436641
2022/23,06/30/2023 12:00:00 AM,"Mohegan Digital, LLC",416060480,401312201,13124,14735155,4032158,2947031,11788124,2121862
2022/23,05/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,825564,831154,6,-5596,14413,0,-5596,0
2022/23,05/31/2023 12:00:00 AM,MPTN On-Reservation,938279,934851,8,3421,7304,684,2737,493
2022/23,05/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",585774812,567136678,310227,18327907,3465828,3465828,14862078,2675174
